Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-11-05 00:00:00+08:00,598.0,600.0,595.0,600.0,553.7134399414062,33270827,0.0,0.0
2021-11-08 00:00:00+08:00,600.0,602.0,598.0,602.0,555.5589599609375,19752355,0.0,0.0
2021-11-09 00:00:00+08:00,611.0,617.0,610.0,611.0,563.8646850585938,39538660,0.0,0.0
2021-11-10 00:00:00+08:00,611.0,612.0,608.0,612.0,564.78759765625,16027674,0.0,0.0
2021-11-11 00:00:00+08:00,600.0,606.0,600.0,606.0,559.25048828125,18463848,0.0,0.0
2021-11-12 00:00:00+08:00,610.0,611.0,602.0,604.0,557.4048461914062,15821327,0.0,0.0
2021-11-15 00:00:00+08:00,609.0,611.0,607.0,608.0,561.09619140625,15551452,0.0,0.0
2021-11-16 00:00:00+08:00,612.0,612.0,608.0,610.0,562.94189453125,20917108,0.0,0.0
2021-11-17 00:00:00+08:00,615.0,615.0,608.0,610.0,562.94189453125,19717852,0.0,0.0
2021-11-18 00:00:00+08:00,613.0,614.0,607.0,613.0,565.71044921875,20030651,0.0,0.0
2021-11-19 00:00:00+08:00,622.0,623.0,617.0,618.0,570.32470703125,35554348,0.0,0.0
2021-11-22 00:00:00+08:00,618.0,618.0,615.0,615.0,567.5560913085938,20312168,0.0,0.0
2021-11-23 00:00:00+08:00,615.0,615.0,611.0,612.0,564.78759765625,19431694,0.0,0.0
2021-11-24 00:00:00+08:00,612.0,612.0,602.0,603.0,556.48193359375,20391940,0.0,0.0
2021-11-25 00:00:00+08:00,605.0,607.0,601.0,603.0,556.48193359375,11888265,0.0,0.0
2021-11-26 00:00:00+08:00,598.0,601.0,592.0,596.0,550.0219116210938,26588102,0.0,0.0
2021-11-29 00:00:00+08:00,594.0,598.0,591.0,593.0,547.2533569335938,23379558,0.0,0.0
2021-11-30 00:00:00+08:00,597.0,600.0,591.0,596.0,550.0219116210938,62021697,0.0,0.0
2021-12-01 00:00:00+08:00,596.0,603.0,594.0,600.0,553.7134399414062,21403404,0.0,0.0
2021-12-02 00:00:00+08:00,605.0,615.0,602.0,615.0,567.5560913085938,45125742,0.0,0.0
2021-12-03 00:00:00+08:00,614.0,614.0,606.0,608.0,561.09619140625,23045832,0.0,0.0
2021-12-06 00:00:00+08:00,603.0,609.0,600.0,600.0,553.7134399414062,23589363,0.0,0.0
2021-12-07 00:00:00+08:00,602.0,607.0,597.0,607.0,560.1732177734375,18606530,0.0,0.0
2021-12-08 00:00:00+08:00,614.0,614.0,602.0,602.0,555.5589599609375,20801543,0.0,0.0
2021-12-09 00:00:00+08:00,606.0,608.0,602.0,608.0,561.09619140625,11039070,0.0,0.0
2021-12-10 00:00:00+08:00,605.0,608.0,602.0,605.0,558.3275146484375,10497451,0.0,0.0
2021-12-13 00:00:00+08:00,609.0,610.0,601.0,601.0,554.6361083984375,17711657,0.0,0.0
2021-12-14 00:00:00+08:00,598.0,600.0,597.0,599.0,552.7903442382812,22579034,0.0,0.0
2021-12-15 00:00:00+08:00,597.0,601.0,596.0,600.0,553.7134399414062,21827730,0.0,0.0
2021-12-16 00:00:00+08:00,605.0,605.0,601.0,605.0,560.8983764648438,21809022,2.75,0.0
2021-12-17 00:00:00+08:00,601.0,607.0,599.0,607.0,562.7525024414062,24105733,0.0,0.0
2021-12-20 00:00:00+08:00,607.0,607.0,598.0,598.0,554.4085693359375,21381070,0.0,0.0
2021-12-21 00:00:00+08:00,597.0,600.0,595.0,597.0,553.4814453125,17001461,0.0,0.0
2021-12-22 00:00:00+08:00,598.0,601.0,598.0,600.0,556.2630004882812,9831802,0.0,0.0
2021-12-23 00:00:00+08:00,607.0,608.0,602.0,606.0,561.8255615234375,16654439,0.0,0.0
2021-12-24 00:00:00+08:00,606.0,609.0,604.0,604.0,559.971435546875,11059689,0.0,0.0
2021-12-27 00:00:00+08:00,604.0,610.0,604.0,606.0,561.8255615234375,16259872,0.0,0.0
2021-12-28 00:00:00+08:00,610.0,615.0,610.0,615.0,570.1693725585938,33892718,0.0,0.0
2021-12-29 00:00:00+08:00,615.0,619.0,614.0,616.0,571.0965576171875,24518766,0.0,0.0
2021-12-30 00:00:00+08:00,619.0,620.0,615.0,615.0,570.1693725585938,19681276,0.0,0.0
